Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.27     0.00    70000     0.00     0.00  std::_Sp_counted_ptr_inplace<ast::BinaryExpr, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      1.27     0.00    70000     0.00     0.00  std::vector<char, std::allocator<char> >::_M_default_append(unsigned long)
  0.00      1.27     0.00    60017     0.00     0.00  yy_scan_bytes(char const*, int)
  0.00      1.27     0.00    60017     0.00     0.00  yy_scan_string(char const*)
  0.00      1.27     0.00    60017     0.00     0.00  yy_delete_buffer(yy_buffer_state*)
  0.00      1.27     0.00    60017     0.00     0.00  yy_switch_to_buffer(yy_buffer_state*)
  0.00      1.27     0.00    60017     0.00     0.00  Analyze::do_analyze(std::shared_ptr<ast::TreeNode>)
  0.00      1.27     0.00    60017     0.00     0.00  std::_Sp_counted_ptr_inplace<PortalStmt, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00      1.27     0.00    60017     0.00     0.00  std::_Sp_counted_ptr_inplace<PortalStmt, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      1.27     0.00    60000     0.00     0.00  Value::init_raw(int)
  0.00      1.27     0.00    60000     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      1.27     0.00    55000     0.00     0.00  std::vector<Condition, std::allocator<Condition> >::vector(std::vector<Condition, std::allocator<Condition> > const&)
  0.00      1.27     0.00    50017     0.00     0.00  Planner::do_planner(std::shared_ptr<Query>, Context*)
  0.00      1.27     0.00    50000     0.00     0.00  std::_Sp_counted_ptr_inplace<DMLPlan, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00      1.27     0.00    50000     0.00     0.00  std::_Sp_counted_ptr_inplace<DMLPlan, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      1.27     0.00    50000     0.00     0.00  void std::vector<Rid, std::allocator<Rid> >::_M_realloc_append<Rid const&>(Rid const&)
  0.00      1.27     0.00    50000     0.00     0.00  std::vector<Condition, std::allocator<Condition> >::_M_erase(__gnu_cxx::__normal_iterator<Condition*, std::vector<Condition, std::allocator<Condition> > >)
  0.00      1.27     0.00    50000     0.00     0.00  std::vector<std::shared_ptr<ast::SelectItem>, std::allocator<std::shared_ptr<ast::SelectItem> > >::~vector()
  0.00      1.27     0.00    45000     0.00     0.00  pop_scan(int*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >&, std::vector<std::shared_ptr<Plan>, std::allocator<std::shared_ptr<Plan> > >)
  0.00      1.27     0.00    45000     0.00     0.00  Condition::Condition(Condition&&)
